;description;solution;id_description;clauses
0;First the salesperson receives an order. Subsequently the order is confirmed. If the customer is a premium customer, the officer handles the information internally. In case the customer doesn't have a gold card, the customer is called on his telephone. Once the shipping details are asked from the customer, an invoice is sent. The invoice is paid by the customer.; <act> receive order </act> <act> confirm order </act> <path1><act> handle information internally </act></path1><path2><act> call customer </act></path2> <act> ask shipping details </act> <act> send invoice </act> <act> pay invoice </act>;0;['First the salesperson receives an order', 'Subsequently the order is confirmed', 'If the customer is a premium customer', 'The officer handles the information internally', 'In case the customer does nt have a gold card', 'The customer is called on his telephone', 'Once the shipping details are asked from the customer', 'An invoice is sent', 'The invoice is paid by the customer']
1;Initially the salesperson gets an order. Subsequently the order is checked for mismatches. If the customer is a frequent buyer, the information is handled internally. If the customer doesn't have a gold card, the customer is called on his telephone. When the shipping information is looked up in a database, an invoice is sent. Later the customer pays .; <act> get order </act> <act> check order </act> <path1><act> handle information internally </act></path1><path2><act> call customer </act></path2> <act> look up shipping information </act> <act> send invoice </act> <act> pay </act>;1;['Initially the salesperson gets an order', 'Subsequently the order is checked for mismatches', 'If the customer is a frequent buyer', 'The information is handled internally', 'If the customer does nt have a gold card', 'The customer is called on his telephone', 'When the shipping information is looked up in a database', 'An invoice is sent', 'Later the customer pays']
2;Initially a product is requested in the store. Subsequently the order is confirmed. If the customer is a premium customer, the information is handled internally. Whenever the customer doesn't have a gold card, the customer is called on his telephone. A database query is performed to find the shipping information . An invoice is sent. Then the payment is done by the customer.; <act> request product </act> <act> confirm order </act> <path1><act> handle information internally </act></path1><path2><act> call customer </act></path2> <act> find shipping information </act> <act> send invoice </act> <act> do payment </act>;2;['Initially a product is requested in the store', 'Subsequently the order is confirmed', 'If the customer is a premium customer', 'The information is handled internally', 'Whenever the customer does nt have a gold card', 'The customer is called on his telephone', 'A database query is performed', 'To find the shipping information', 'An invoice is sent', 'Then the payment is done by the customer']
3;The loan approval process starts when a customer places a request for a loan amount. Before the assessment web service evaluates the request of the customer, the risk assessment web service is invoked . If the loan amount is for 10000 dollar or more, the loan is accepted. Whenever the customer is high risk, the loan is denied. In the next step, the assessment web service closes the loan request. Later the customer receives feedback from the assessor.; <act> place request </act>  <act> evaluate request </act> <act> invoke risk assessment web service </act> <path1><act> accept loan </act></path1><path2><act> deny loan </act></path2> <act> close loan request </act> <act> receive feedback </act>;3;['The loan approval process starts', 'When a customer places a request for a loan amount', 'Before the assessment web service evaluates the request of the customer', 'The risk assessment web service is invoked', 'If the loan amount is for 10000 dollar or more', 'The loan is accepted', 'Whenever the customer is high risk', 'The loan is denied', 'In the next step the assessment web service closes the loan request', 'Later the customer receives feedback from the assessor']
4;The loan approval process starts by receiving a customer request for a loan amount. Afterwards, the risk assessment web service is invoked . Next, the assessment web service evaluates the request of the customer. Whenever the loan is small , the assessment web services approves the loan. If the customer is high risk, the assessment web service denies the loan. Once the loan request is closed by the assessment web service, the customer receives feedback from the assessor.; <act> receive customer request </act> <act> invoke risk assessment web service </act> <act> evaluate request </act> <path1><act> approve loan </act></path1><path2><act> deny loan </act></path2> <act> close loan request </act> <act> receive feedback </act>;4;['The loan approval process starts by', 'Receiving a customer request for a loan amount', 'Afterwards the risk assessment web service is invoked', 'Next the assessment web service evaluates the request of the customer', 'Whenever the loan is small', 'The assessment web services approves the loan', 'If the customer is high risk', 'The assessment web service denies the loan', 'Once the loan request is closed by the assessment web service', 'The customer receives feedback from the assessor']
5;The loan approval process starts when obtaining a customer request for a loan amount. Once the risk assessment web service is invoked , the assessment web service evaluates the request of the customer. If the customer needs further review , the loan is approved. Whenever the customer is high risk, the loan is denied. Once the assessment web service closes the loan request, the customer receives feedback from the assessor.; <act> obtain customer request </act> <act> invoke risk assessment web service </act> <act> evaluate request </act> <path1><act> approve loan </act></path1><path2><act> deny loan </act></path2> <act> close loan request </act> <act> receive feedback </act>;5;['The loan approval process starts', 'When obtaining a customer request for a loan amount', 'Once the risk assessment web service is invoked', 'The assessment web service evaluates the request of the customer', 'If the customer needs further review', 'The loan is approved', 'Whenever the customer is high risk', 'The loan is denied', 'Once the assessment web service closes the loan request', 'The customer receives feedback from the assessor']
6;A small company manufactures customized bicycles. Whenever the sales department receives an order, a new process instance is created. If a member of the sales department rejects the order for a customized bike, the customer is informed. If a member of the sales department accepts the order for a customized bike, the storehouse and the engineering department are informed. Then the storehouse immediately processes the part list of the order. The storehouse checks the required quantity of each part. If the part is available, it is reserved. If the part is not available, it is back ordered. After the engineering department prepares everything for the assembling of the ordered bicycle, the engineering department assembles the bicycle. When the sales department ships the bicycle to the customer , the process instance finishes.;  <act> receive order </act> <path1><act> inform customer </act></path1><path2><act> inform storehouse and engineering department </act></path2> <act> process part list </act>  <act> check required quantity </act> <path1><act> reserve part </act> </path1><path2><act> back order part </act></path2> <act> prepare everything </act> <act> assemble bicycle </act> <act> ship bicycle </act> ;6;['A small company manufactures customized bicycles', 'Whenever the sales department receives an order', 'A new process instance is created', 'If a member of the sales department rejects the order for a customized bike', 'The customer is informed', 'If a member of the sales department accepts the order for a customized bike', 'The storehouse and the engineering department are informed', 'Then the storehouse immediately processes the part list of the order', 'The storehouse checks the required quantity of each part', 'If the part is available', 'It is reserved', 'If the part is not available', 'It is back ordered', 'After the engineering department prepares everything for the assembling of the ordered bicycle', 'The engineering department assembles the bicycle', 'When the sales department ships the bicycle to the customer', 'The process instance finishes']
7;A small company manufactures customized bicycles. Whenever the sales department receives an order, a new process instance is created. Whenever a member of the sales department rejects the order for a customized bike, the customer is informed. If a member of the sales department accepts the order for a customized bike, the storehouse and the engineering department are informed. Next the storehouse immediately processes the part list of the order. The storehouse checks the required quantity of each part. Whenever the part is available, it is reserved. If the part is not available, it is back ordered. Before the engineering department assembles the bicycle, the engineering department prepares everything for the assembling of the ordered bicycle. Before the process instance finishes, the sales department ships the bicycle to the customer .;  <act> receive order </act> <path1><act> inform customer </act></path1><path2><act> inform storehouse and engineering department </act></path2> <act> process part list </act>  <act> check required quantity </act> <path1><act> reserve part </act> </path1><path2><act> back order part </act></path2> <act> assemble bicycle </act> <act> prepare everything </act>  <act> ship bicycle </act>;7;['A small company manufactures customized bicycles', 'Whenever the sales department receives an order', 'A new process instance is created', 'Whenever a member of the sales department rejects the order for a customized bike', 'The customer is informed', 'If a member of the sales department accepts the order for a customized bike', 'The storehouse and the engineering department are informed', 'Next the storehouse immediately processes the part list of the order', 'The storehouse checks the required quantity of each part', 'Whenever the part is available', 'It is reserved', 'If the part is not available', 'It is back ordered', 'Before the engineering department assembles the bicycle', 'The engineering department prepares everything for the assembling of the ordered bicycle', 'Before the process instance finishes', 'The sales department ships the bicycle to the customer']
8;A small company manufactures customized bicycles. Whenever the sales department receives an order, a new process instance is created. If a member of the sales department rejects the order for a customized bike, the customer is informed. If a member of the sales department accepts the order for a customized bike, the storehouse and the engineering department are informed. In the next step, the storehouse immediately processes the part list of the order. The storehouse checks the required quantity of each part. Whenever the part is available, it is reserved. If the part is not available, it is back ordered. Next, the engineering department prepares everything for the assembling of the ordered bicycle. The engineering department assembles the bicycle. Before the process instance finishes, the sales department ships the bicycle to the customer .;  <act> receive order </act> <path1><act> inform customer </act></path1><path2><act> inform storehouse and engineering department </act></path2> <act> process part list </act>  <act> check required quantity </act> <path1><act> reserve part </act> </path1><path2><act> back order part </act></path2> <act> prepare everything </act> <act> assemble bicycle </act>  <act> ship bicycle </act>;8;['A small company manufactures customized bicycles', 'Whenever the sales department receives an order', 'A new process instance is created', 'If a member of the sales department rejects the order for a customized bike', 'The customer is informed', 'If a member of the sales department accepts the order for a customized bike', 'The storehouse and the engineering department are informed', 'In the next step the storehouse immediately processes the part list of the order', 'The storehouse checks the required quantity of each part', 'Whenever the part is available', 'It is reserved', 'If the part is not available', 'It is back ordered', 'Next the engineering department prepares everything for the assembling of the ordered bicycle', 'The engineering department assembles the bicycle', 'Before the process instance finishes', 'The sales department ships the bicycle to the customer']
9;First any employee of the organization submits a vacation request. Before the request is received by the immediate supervisor of the employee requesting the vacation, the request is noted. Next, the supervisor reviews the request. The supervisor can approve or reject the request. Whenever the request is rejected, the application is returned to the applicant. In case the request is approved, a notification is generated to the Human Resources Representative.; <act> submit vacation request </act> <act> receive request </act> <act> note request </act> <act> review request </act>  <path1><act> return application </act></path1><path2><act> generate notification </act></path2>;9;['First any employee of the organization submits a vacation request', 'Before the request is received by the immediate supervisor of the employee requesting the vacation', 'The request is noted', 'Next the supervisor reviews the request', 'The supervisor can approve or reject the request', 'Whenever the request is rejected', 'The application is returned to the applicant', 'In case the request is approved', 'A notification is generated to the human resources representative']
10;The process of vacations request starts when any employee of the organization submits a vacation request. Before the request is received by the immediate supervisor of the employee requesting the vacation, the request is input in the database. Subsequently the supervisor reviews the request. The supervisor can approve or reject the request. If the request is rejected, the application is returned to the applicant. In case the request is approved, a notification is generated to the Human Resources Representative.; <act> submit vacation request </act> <act> receive request </act> <act> input request </act> <act> review request </act>  <path1><act> return application </act></path1><path2><act> generate notification </act></path2>;10;['The process of vacations request starts', 'When any employee of the organization submits a vacation request', 'Before the request is received by the immediate supervisor of the employee requesting the vacation', 'The request is input in the database', 'Subsequently the supervisor reviews the request', 'The supervisor can approve or reject the request', 'If the request is rejected', 'The application is returned to the applicant', 'In case the request is approved', 'A notification is generated to the human resources representative']
11;The process of vacations request starts when any employee of the organization submits a vacation request. Once the request is input in the database, the request is received by the immediate supervisor of the employee requesting the vacation. Thereafter the supervisor reviews the request. The supervisor can approve or reject the request. If the request is rejected, the application is returned to the applicant. If the request is approved, a notification is generated to the Human Resources Representative.; <act> submit vacation request </act> <act> input request </act> <act> receive request </act> <act> review request </act>  <path1><act> return application </act></path1><path2><act> generate notification </act></path2>;11;['The process of vacations request starts', 'When any employee of the organization submits a vacation request', 'Once the request is input in the database', 'The request is received by the immediate supervisor of the employee requesting the vacation', 'Thereafter the supervisor reviews the request', 'The supervisor can approve or reject the request', 'If the request is rejected', 'The application is returned to the applicant', 'If the request is approved', 'A notification is generated to the human resources representative']
12;The process of an office supply request starts when any employee of the organization submits an office supply request. Next the requirement is registered. After that, the request is received by the immediate supervisor of the employee requesting the office supplies. Afterwards, the supervisor must assess the request. In case the request is asked to make a change, the request is closed. If the request is approved, it will go to the purchase department that will be in charge of selecting a vendor. If the vendor is not valid in the system, the purchase department will have to choose a different vendor. A vendor is selected and confirmed. Then the system will send a purchase order. After that, the system waits for the invoice to be received. In any case the system will send a notification to let the user know what the result was.; <act> submit office supply request </act> <act> register requirement </act> <act> receive request</act> <act> assess request </act> <path1><act> close request </act></path1><path2><act> select vendor </act></path2> <path1><act> choose different vendor </act></path1> <act> select and confirm vendor </act>  <act> send purchase order </act>  <act> wait </act> <act> send notification </act> ;12;['The process of an office supply request starts', 'When any employee of the organization submits an office supply request', 'Next the requirement is registered', 'After that the request is received by the immediate supervisor of the employee requesting the office supplies', 'Afterwards the supervisor must assess the request', 'In case the request is asked', 'The request is closed', 'To make a change', 'If the request is approved', 'It will go to the purchase department', 'That will be in charge of', 'Selecting a vendor', 'If the vendor is not valid in the system', 'The purchase department will have', 'To choose a different vendor', 'A vendor is selected and confirmed', 'Then the system will send a purchase order', 'After that the system waits', 'For the invoice to be received', 'In any case the system will send a notification', 'To let', 'The user know', 'What the result was']
13;The process of an office supply request starts when any employee of the organization submits an office supply request. Before the request is received by the immediate supervisor of the employee requesting the office supplies, the requirement is registered. Afterwards, the supervisor must assess the request. If the request is asked to make a change, the request is returned to the petitioner. If the request is approved, it will go to the purchase department that will be in charge of selecting a vendor. If the vendor is not valid in the system, the purchase department will have to choose a different vendor. A vendor is selected and confirmed. Afterwards, the system will send a purchase order. Afterwards, the system waits for the invoice to be received. In any case the system will send a notification to let the user know what the result was.; <act> submit office supply request </act> <act> receive request</act> <act> register requirement </act> <act> assess request </act> <path1><act> return request </act></path1><path2><act> select vendor </act></path2> <path1><act> choose different vendor </act></path1> <act> select and confirm vendor </act>  <act> send purchase order </act>  <act> wait </act> <act> send notification </act> ;13;['The process of an office supply request starts', 'When any employee of the organization submits an office supply request', 'Before the request is received by the immediate supervisor of the employee requesting the office supplies', 'The requirement is registered', 'Afterwards the supervisor must assess the request', 'If the request is asked', 'The request is returned to the petitioner', 'To make a change', 'If the request is approved', 'It will go to the purchase department', 'That will be in charge of', 'Selecting a vendor', 'If the vendor is not valid in the system', 'The purchase department will have', 'To choose a different vendor', 'A vendor is selected and confirmed', 'Afterwards the system will send a purchase order', 'Afterwards the system waits', 'For the invoice to be received', 'In any case the system will send a notification', 'To let', 'The user know', 'What the result was']
14;The process of an office supply request starts when any employee of the organization submits an office supply request. Before the request is received by the immediate supervisor of the employee requesting the office supplies, the requirement is registered. Afterwards, the supervisor must assess the request. In case the request is rejected, the request is closed. If the request is approved, it will go to the purchase department that will be in charge of selecting a vendor. In case the vendor is not valid in the system, the purchase department will have to choose a different vendor. A vendor is selected and confirmed. Then the system will send a purchase order. The system waits for the invoice to be received. In any case the system will send a notification to let the user know what the result was.; <act> submit office supply request </act> <act> receive request</act> <act> register requirement </act> <act> assess request </act> <path1><act> close request </act></path1><path2><act> select vendor </act></path2> <path1><act> choose different vendor </act></path1> <act> select and confirm vendor </act>  <act> send purchase order </act>  <act> wait </act> <act> send notification </act> ;14;['The process of an office supply request starts', 'When any employee of the organization submits an office supply request', 'Before the request is received by the immediate supervisor of the employee requesting the office supplies', 'The requirement is registered', 'Afterwards the supervisor must assess the request', 'In case the request is rejected', 'The request is closed', 'If the request is approved', 'It will go to the purchase department', 'That will be in charge of', 'Selecting a vendor', 'In case the vendor is not valid in the system', 'The purchase department will have', 'To choose a different vendor', 'A vendor is selected and confirmed', 'Then the system will send a purchase order', 'The system waits', 'For the invoice to be received', 'In any case the system will send a notification', 'To let', 'The user know', 'What the result was']
