structured_description;solution
The process starts when<act>request product</act>. <act>confirm order</act> . In case the customer has a gold card, <act>handle information internally</act>. If the customer does not have a gold card, <act>call customer</act>. Before<act>send invoice</act>, a database query is performed <act>find shipping information</act> . Then<act>check payment</act>.; <act> request product </act> <act> confirm order </act> <path1><act> handle information internally </act></path1><path2><act> call customer </act></path2> <act> send invoice </act> <act> find shipping information </act> <act> check payment </act>
The process starts when<act>request product</act>. Thereafter<act>check order</act>. If it is a premium customer, <act>handle information internally</act>. If the customer does not have a gold card, <act>call customer</act>. Afterwards, a database query is performed <act>find shipping information</act> . Then<act>send invoice</act>. Thereafter<act>pay bill</act>.; <act> request product </act> <act> check order </act> <path1><act> handle information internally </act></path1><path2><act> call customer </act></path2> <act> find shipping information </act> <act> send invoice </act> <act> pay bill </act>
The process starts when<act>place purchase order</act> . After that,<act>confirm order</act>. If it is a premium customer, <act>handle information internally</act>. If the customer does not have a gold card, <act>call customer</act>. Before<act>send invoice</act>, <act>retrieve shipping address</act>. Next<act>do payment</act>.; <act> place purchase order </act> <act> confirm order </act> <path1><act> handle information internally </act></path1><path2><act> call customer </act></path2> <act> retrieve shipping address </act> <act> send invoice </act>  <act> do payment </act>
The process starts when<act>receive order</act> . Subsequently<act>send confirmation message</act>. If the customer is a frequent buyer, <act>handle information internally</act>. In case the customer does not have a gold card, <act>call customer</act>. <act>ask shipping details</act>. After that,<act>send invoice</act>. After that,<act>pay bill</act>.; <act> receive order </act> <act> send confirmation message </act> <path1><act> handle information internally </act></path1><path2><act> call customer </act></path2> <act> ask shipping details </act> <act> send invoice </act> <act> pay bill </act>
Initially<act>place purchase order</act>. <act>confirm order</act> . Whenever the customer possesses a gold card, <act>handle information internally</act>. In case the customer does not have a gold card, <act>call customer</act>. Later<act>find shipping information</act> . Thereafter<act>send invoice</act>. Next<act>pay invoice</act>.; <act> place purchase order </act> <act> confirm order </act> <path1><act> handle information internally </act></path1><path2><act> call customer </act></path2> <act> find shipping information </act> <act> send invoice </act> <act> pay invoice </act>
The loan approval process starts when<act>place request for loan amount</act>. Before<act>evaluate request of customer</act>, <act>invoke risk assessment web service</act> . If the customer wants further information , <act>approve loan</act>. If the customer is high risk, <act>deny loan</act>. When<act>send request</act>, <act>receive feedback</act>.; <act> place request for loan amount </act>  <act> invoke risk assessment web service </act> <act> evaluate request of customer</act>  <path1><act> approve loan </act></path1><path2><act> deny loan </act></path2> <act> send request </act> <act> receive feedback </act>
The loan approval process starts by <act>receive customer request for loan amount</act>. Once<act>invoke risk assessment web service</act> , <act>evaluate request of customer</act>. Whenever the loan amount is for 10000 dollar or more, <act>accept loan</act>. If the customer is high risk, <act>deny loan</act>. When<act>send request</act>, <act>receive feedback</act>.; <act> receive customer request for loan amount</act> <act> invoke risk assessment web service </act> <act> evaluate request of customer </act> <path1><act> accept loan </act></path1><path2><act> deny loan </act></path2> <act> send request </act> <act> receive feedback </act>
The process starts when<act>place request for loan amount</act>. Once<act>invoke risk assessment web service</act> , <act>evaluate request of customer</act>. If the customer wants further information , <act>accept loan</act>. If the customer is high risk, <act>deny loan</act>. Once<act>close loan request</act>, <act>receive feedback</act>.; <act> place request for loan amount </act>  <act> invoke risk assessment web service </act> <act> evaluate request of customer </act> <path1><act> accept loan </act></path1><path2><act> deny loan </act></path2> <act> deny loan </act> <act> </act> close loan request <act> receive feedback </act>
First<act>receive request for loan amount</act>. Before<act>evaluate request of customer</act>, <act>invoke risk assessment web service</act> . Whenever the loan amount is for 10000 dollar or more, <act>accept loan</act>. If the customer is high risk, <act>deny loan</act>. Once<act>send request</act>, <act>receive feedback</act>.; <act> receive request for loan amount </act> <act> invoke risk assessment web service </act> <act> evaluate request of customer </act>  <path1><act> accept loan </act></path1><path2><act> deny loan </act></path2> <act> send request </act> <act> receive feedback </act>
The loan approval process starts when<act>obtain customer request for loan amount</act>. Once<act>invoke risk assessment web service</act> , <act>evaluate request of customer</act>. Whenever the loan amount is for 10000 dollar or more, <act>approve loan</act>. If the customer is high risk, <act>deny loan</act>. Before<act>receive feedback</act>, <act>close loan request</act>.; <act> obtain customer request for loan amount</act> <act> invoke risk assessment web service </act> <act> evaluate request of customer </act> <path1><act> approve loan </act></path1><path2><act> deny loan </act></path2> <act> close loan request </act> <act> receive feedback </act> 
A small company manufactures customized bicycles. When<act>receive order</act>, a new process instance is created. In case a member of the sales department accepts the order for a customized bike, <act>inform storehouse and engineering department</act>. Next<act>process part list of order</act>. Next <act>check required quantity</act>. If the part is available, <act>reserve part</act>. If the part is available, <act>back order part</act>. After<act>prepare everything for assembling of ordered bicycle</act>, <act>assemble bicycle</act>. After<act>ship bicycle</act> , the process instance finishes.;  <act> receive order </act> <path1><act> inform storehouse and engineering department </act></path1> <act> process part list of order </act>  <act> check required quantity </act> <path1><act> reserve part </act> </path1><path2><act> back order part </act></path2> <act> prepare everything for assembling of ordered bicycle</act> <act> assemble bicycle </act> <act> ship bicycle </act> 
A small company manufactures customized bicycles. Whenever an order is received at the sales department, a new process instance is created. If a member of the sales department rejects the order for a customized bike, <act>inform customer</act>. If a member of the sales department accepts the order for a customized bike, <act>inform storehouse and engineering department</act>. Afterwards, the storehouse immediately processes the part list of the order. <act>require quantity</act>. If the part is available, <act>reserve part</act>. If the part is available, <act>be part</act>. Next<act>prepare everything for assembling of ordered bicycle</act>. After that,<act>assemble bicycle</act>. Next,<act>ship bicycle</act> . Next, the process instance finishes.;  <act> receive order </act> <path1><act> inform customer </act></path1><path2><act> inform storehouse and engineering department </act></path2> <act> process part list </act>  <act> check required quantity </act> <path1><act> reserve part </act> </path1><path2><act> back order part </act></path2> <act> prepare everything </act> <act> assemble bicycle </act> <act> ship bicycle </act> 
A small company manufactures customized bicycles. When<act>receive order</act>, a new process instance is created. In case a member of the sales department rejects the order for a customized bike, <act>inform customer</act>. If a member of the sales department accepts the order for a customized bike, <act>inform storehouse and engineering department</act>. Later<act>process part list of order</act>. <act>check required quantity</act>. In case each part is available, <act>reserve part</act>. In case each part is not available, <act>back order part</act>. Once<act>prepare everything </act>, <act>assemble bicycle</act>. Once<act>ship bicycle</act> , the process instance finishes.;  <act> receive order </act> <path1><act> inform customer </act></path1><path2><act> inform storehouse and engineering department </act></path2> <act> process part list of order </act>  <act> check required quantity </act> <path1><act> reserve part </act> </path1><path2><act> back order part </act></path2> <act> prepare everything </act> <act> assemble bicycle </act> <act> ship bicycle </act> 
